,0
总收益率,-0.24342182867824746
胜率,0.33325353124251855
总盈亏比,0.9630971589470348
平均盈亏比,0.9579080578751219
收益回撤比,0.2014101805044242
年化收益率,-0.0769921728488391
夏普比率,-0.4014663879094113
百分比最大回撤,-0.3822655471337899
