AG,AL,AP,BU,C,CF,CS,CU,FG,HC,J,JD,JM,L,M,MA,OI,P,PB,PP,RB,RM,RU,SF,SN,SR,TA,V,Y,ZN
0.015561267,0.023584122,0.025159701,0.032372115,0.025159701,0.025159701,0.025159701,0.023584122,0.032372115,0.04,0.04,0.025159701,0.04,0.034120285,0.025159701,0.037470315,0.025159701,0.025159701,0.027599271,0.032372115,0.04,0.025159701,0.032372115,0.059155155,0.023584122,0.025159701,0.032372115,0.037070048,0.025159701,0.023584122
0.038903166,0.058960304,0.062899253,0.080930288,0.062899253,0.062899253,0.062899253,0.058960304,0.080930288,0.1,0.1,0.062899253,0.1,0.085300712,0.062899253,0.093675787,0.062899253,0.062899253,0.068998176,0.080930288,0.1,0.062899253,0.080930288,0.147887888,0.058960304,0.062899253,0.080930288,0.09267512,0.062899253,0.058960304
