,datetime,open,high,low,close,trade_price,trade_time,pred_sig,signal,pos,profit,cost,signal_class,trend_pct,revers_pct,balance,profit_cost,pnl_cost
0,2018-04-10 14:00:00,6751.0,6777.0,6728.0,6766.0,0,0,0.0,0.0,0.0,0.0,3.694892386765178,0,0,0,1000000.0,-3.694892386765178,0.9999963051076133
1,2018-04-11 09:00:00,6799.0,7023.0,6780.0,6972.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
2,2018-04-11 10:00:00,6973.0,7025.0,6970.0,7008.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
3,2018-04-11 11:00:00,7008.0,7017.0,6969.0,6980.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
4,2018-04-11 13:00:00,6977.0,6987.0,6965.0,6977.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
5,2018-04-11 14:00:00,6976.0,7030.0,6962.0,7024.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
6,2018-04-12 09:00:00,7050.0,7086.0,6978.0,7013.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
7,2018-04-12 10:00:00,7013.0,7056.0,7002.0,7030.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
8,2018-04-12 11:00:00,7030.0,7032.0,7002.0,7022.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
9,2018-04-12 13:00:00,7022.0,7029.0,7011.0,7022.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
10,2018-04-12 14:00:00,7022.0,7083.0,7019.0,7083.0,[],[],0.0,0.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
11,2018-04-13 09:00:00,7100.0,7100.0,7014.0,7024.0,[],[],-1.0,-1.0,0.0,0.0,0.0,0,0,0,1000000.0,0.0,0.9999963051076133
12,2018-04-13 10:00:00,7024.0,7044.0,7004.0,7028.0,[7024.0],['2018-04-13 10:00:00'],0.0,0.0,-14.236902050113894,-569.4760820045558,54.594165064687665,0,0,0,999375.9297529306,-624.0702470692435,0.9993722348605439
13,2018-04-13 11:00:00,7029.0,7044.0,7022.0,7036.0,[],[],-1.0,0.0,-14.236902050113894,-1138.9521640091116,0.0,0,0,0,998236.9775889216,-1138.9521640091116,0.9982332826965349
14,2018-04-13 13:00:00,7035.0,7089.0,7035.0,7071.0,[],[],-1.0,0.0,-14.236902050113894,-4982.915717539863,0.0,0,0,0,993254.0618713817,-4982.915717539863,0.993250366978995
15,2018-04-13 14:00:00,7072.0,7168.0,7061.0,7163.0,[],[],0.0,0.0,-14.236902050113894,-13097.949886104781,0.0,0,0,0,980156.1119852769,-13097.949886104781,0.9801524170928902
16,2018-04-16 09:00:00,7144.0,7207.0,7113.0,7154.0,[],[],-1.0,0.0,-14.236902050113894,1281.3211845102503,0.0,0,0,0,981437.4331697872,1281.3211845102503,0.9814337382774004
17,2018-04-16 10:00:00,7154.0,7176.0,7133.0,7155.0,[],[],-1.0,0.0,-14.236902050113894,-142.36902050113895,0.0,0,0,0,981295.064149286,-142.36902050113895,0.9812913692568993
18,2018-04-16 11:00:00,7155.0,7206.0,7146.0,7181.0,[],[],-1.0,0.0,-14.236902050113894,-3701.5945330296126,0.0,0,0,0,977593.4696162564,-3701.5945330296126,0.9775897747238698
19,2018-04-16 13:00:00,7183.0,7183.0,7138.0,7139.0,[],[],0.0,0.0,-14.236902050113894,5979.498861047836,0.0,0,0,0,983572.9684773042,5979.498861047836,0.9835692735849175
20,2018-04-16 14:00:00,7140.0,7173.0,7110.0,7153.0,[],[],0.0,0.0,-14.236902050113894,-1993.166287015945,0.0,0,0,0,981579.8021902883,-1993.166287015945,0.9815761072979016
21,2018-04-17 09:00:00,7130.0,7130.0,7053.0,7069.0,[],[],1.0,1.0,-14.236902050113894,11958.997722095672,0.0,0,0,0,993538.799912384,11958.997722095672,0.9935351050199973
22,2018-04-17 10:00:00,7068.0,7098.0,7033.0,7037.0,"[7069.0, 7069.0]","['2018-04-17 10:00:00', '2018-04-17 10:00:00']",1.0,0.0,14.146272457207525,-4526.807186306408,109.20388397727467,0,0,0,988902.7888421003,-4636.011070283683,0.9888990939497136
23,2018-04-17 11:00:00,7037.0,7057.0,7027.0,7049.0,[],[],1.0,0.0,14.146272457207525,1697.552694864903,0.0,0,0,0,990600.3415369652,1697.552694864903,0.9905966466445785
24,2018-04-17 13:00:00,7048.0,7067.0,7039.0,7058.0,[],[],1.0,0.0,14.146272457207525,1273.1645211486773,0.0,0,0,0,991873.5060581139,1273.1645211486773,0.9918698111657271
25,2018-04-17 14:00:00,7058.0,7132.0,7040.0,7116.0,[],[],1.0,0.0,14.146272457207525,8204.838025180365,0.0,0,0,0,1000078.3440832943,8204.838025180365,1.0000746491909076
26,2018-04-18 09:00:00,7121.0,7157.0,7092.0,7120.0,[],[],1.0,0.0,14.146272457207525,565.850898288301,0.0,0,0,0,1000644.1949815826,565.850898288301,1.0006405000891958
27,2018-04-18 10:00:00,7121.0,7127.0,7097.0,7121.0,[],[],1.0,0.0,14.146272457207525,141.46272457207525,0.0,0,0,0,1000785.6577061546,141.46272457207525,1.000781962813768
28,2018-04-18 11:00:00,7122.0,7138.0,7106.0,7127.0,[],[],0.0,0.0,14.146272457207525,848.7763474324515,0.0,0,0,0,1001634.434053587,848.7763474324515,1.0016307391612005
29,2018-04-18 13:00:00,7127.0,7154.0,7121.0,7146.0,[],[],0.0,0.0,14.146272457207525,2687.7917668694295,0.0,0,0,0,1004322.2258204565,2687.7917668694295,1.0043185309280698
30,2018-04-18 14:00:00,7146.0,7199.0,7127.0,7164.0,[],[],0.0,0.0,14.146272457207525,2546.3290422973546,0.0,0,0,0,1006868.5548627538,2546.3290422973546,1.0068648599703671
31,2018-04-19 09:00:00,7170.0,7179.0,7078.0,7089.0,[],[],1.0,0.0,14.146272457207525,-10609.704342905643,0.0,0,0,0,996258.8505198482,-10609.704342905643,0.9962551556274615
32,2018-04-19 10:00:00,7089.0,7116.0,7086.0,7108.0,[],[],1.0,0.0,14.146272457207525,2687.7917668694295,0.0,0,0,0,998946.6422867177,2687.7917668694295,0.998942947394331
33,2018-04-19 11:00:00,7109.0,7117.0,7094.0,7109.0,[],[],1.0,0.0,14.146272457207525,141.46272457207525,0.0,0,0,0,999088.1050112897,141.46272457207525,0.999084410118903
34,2018-04-19 13:00:00,7110.0,7138.0,7104.0,7128.0,[],[],1.0,0.0,14.146272457207525,2687.7917668694295,0.0,0,0,0,1001775.8967781592,2687.7917668694295,1.0017722018857724
35,2018-04-19 14:00:00,7128.0,7170.0,7128.0,7156.0,[],[],-1.0,-1.0,14.146272457207525,3960.9562880181065,0.0,0,0,0,1005736.8530661773,3960.9562880181065,1.0057331581737905
36,2018-04-20 09:00:00,7130.0,7150.0,7094.0,7145.0,"[7127.0, 7127.0]","['2018-04-20 09:01:00', '2018-04-20 09:01:00']",0.0,0.0,-14.031149151115477,-6628.025859790968,109.34182862584646,0,0,0,998999.4853777605,-6737.367688416814,0.9989957904853738
37,2018-04-20 10:00:00,7145.0,7154.0,7117.0,7122.0,[],[],0.0,0.0,-14.031149151115477,3227.1643047565594,0.0,0,0,0,1002226.649682517,3227.1643047565594,1.0022229547901302
38,2018-04-20 11:00:00,7122.0,7142.0,7117.0,7138.0,[],[],-1.0,0.0,-14.031149151115477,-2244.9838641784763,0.0,0,0,0,999981.6658183385,-2244.9838641784763,0.9999779709259519
39,2018-04-20 13:00:00,7139.0,7175.0,7121.0,7171.0,[],[],0.0,0.0,-14.031149151115477,-4630.279219868107,0.0,0,0,0,995351.3865984704,-4630.279219868107,0.9953476917060837
40,2018-04-20 14:00:00,7170.0,7207.0,7136.0,7174.0,[],[],-1.0,0.0,-14.031149151115477,-420.93447453346425,0.0,0,0,0,994930.452123937,-420.93447453346425,0.9949267572315502
41,2018-04-23 09:00:00,7235.0,7406.0,7221.0,7382.0,[],[],0.0,0.0,-14.031149151115477,-29184.79023432019,0.0,0,0,0,965745.6618896167,-29184.79023432019,0.96574196699723
42,2018-04-23 10:00:00,7382.0,7486.0,7366.0,7465.0,[],[],0.0,0.0,-14.031149151115477,-11645.853795425846,0.0,0,0,0,954099.8080941909,-11645.853795425846,0.9540961132018042
43,2018-04-23 11:00:00,7465.0,7498.0,7463.0,7496.0,[],[],0.0,0.0,-14.031149151115477,-4349.656236845798,0.0,0,0,0,949750.1518573451,-4349.656236845798,0.9497464569649584
44,2018-04-23 13:00:00,7497.0,7498.0,7468.0,7478.0,[],[],0.0,0.0,-14.031149151115477,2525.6068472007855,0.0,0,0,0,952275.7587045459,2525.6068472007855,0.9522720638121592
